code,lib,inscrits,abstentions,votants,blancs,nuls,exprimes,LFI,REN,PSPP,RN,EELV,LR,REC,UPR,PARTI_ANIMAL,ECO_AU_CENTRE,ALLIANCE_RURAL,PCF,PATRIOTES,EUROPE_TERRITOIRES_ECOLOGIES,EQUINOXE,LO,ECO_POSI_ET_TERRITOIRE,42,NPA,DEFENDRE_LES_ENFANTS,ESPERANTO,FORTERESSE_EUROPE,43,FRANCE_LIBRE,10,PARTI_PIRATE,40,PARTI_DES_TRAVAILLEURS,PAIX_ET_DECROISSANCE,POUR_UNE-HUMANITE_SOUVERAINE,41,PARTI_CITOYENS_EUROPEENS,NOUVELLE_DONNE,ASSOCIATION_NATIONALE_DES_COMMUNISTES,45
01088,Charnoz-sur-Ain,799,293,506,6,1,499,16,47,50,219,27,47,41,5,11,9,4,5,7,5,1,2,1,,,,1,,,1,,,,,,,,,,,
01106,Cize,142,61,81,2,0,79,9,4,13,31,5,3,7,,1,,2,1,,2,,,1,,,,,,,,,,,,,,,,,,
01141,Cuzieu,389,155,234,1,7,226,20,29,26,91,14,22,6,2,2,1,6,4,1,1,,,,,,,,,,,1,,,,,,,,,,
01160,Ferney-Voltaire,4281,2058,2223,15,17,2191,472,366,350,310,198,141,119,55,45,33,21,20,20,11,10,7,5,2,2,1,1,1,1,,,,,,,,,,,,
01258,Montceaux,968,435,533,10,9,514,18,61,40,244,22,49,34,3,7,9,7,2,7,2,1,4,3,,,,1,,,,,,,,,,,,,,
01307,Port,606,267,339,8,8,323,34,48,21,120,15,42,22,1,3,3,4,1,3,,,2,,3,,,,,,1,,,,,,,,,,,
01369,Saint-Just,789,328,461,3,4,454,33,69,71,140,22,39,31,4,10,6,8,7,2,7,,1,3,,,,,,,,,1,,,,,,,,,
01090,Châtenay,284,104,180,5,2,173,6,19,18,79,7,18,9,2,,1,8,2,1,2,,,1,,,,,,,,,,,,,,,,,,
01385,Saint-Rémy,797,312,485,6,7,472,12,72,60,180,18,33,34,6,12,9,9,8,5,8,1,1,2,,1,,,1,,,,,,,,,,,,,
01386,Saint-Sorlin-en-Bugey,901,354,547,10,8,529,20,94,71,185,24,45,23,8,7,4,17,13,4,5,2,1,4,,,,1,,,,,,1,,,,,,,,
